id,10_연재확률,first_positive_10,second_rating_people_2,third_unreco_sum_5,label,positive_1,positive_2,positive_3,positive_4,positive_5,positive_6,positive_7,positive_8,positive_9,positive_10,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,rating_people_6,rating_people_7,rating_people_8,rating_people_9,rating_people_10,unreco_sum_1,unreco_sum_2,unreco_sum_3,unreco_sum_4,unreco_sum_5,unreco_sum_6,unreco_sum_7,unreco_sum_8,unreco_sum_9,unreco_sum_10,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3
626990,0.541614047772171,26.0,9642.880000000001,95,2,40.0,18.0,20.0,30.0,27.0,126.0,91.0,40.0,32.0,26.0,10534.039999999999,9642.880000000001,8347.0,9188.400000000001,8558.48,9989.8,17672.46,8666.939999999999,7606.38,7818.99,149,122,124,254,95,247,328,231,112,182,314,(zzsa****),왜,좀비,와,수상한,뭔가,왜
626991,0.5098820027781152,64.0,6719.85,59,2,94.0,23.0,24.0,29.0,33.0,69.0,16.0,18.0,18.0,64.0,10161.42,6719.85,5936.09,5793.28,5270.58,5736.72,3854.9900000000002,4149.6,3621.7999999999997,4302.150000000001,146,30,28,25,59,228,33,114,99,132,310,(zzsa****),덕과의,재밌어요,그림체,여주가,키도,작고
627020,0.44564271704733427,10.0,4669.56,32,2,29.0,22.0,17.0,13.0,16.0,8.0,20.0,19.0,10.0,10.0,5189.490000000001,4669.56,4487.74,4012.88,4099.2,3191.2999999999997,3769.1499999999996,7168.219999999999,4738.36,3996.7400000000002,288,44,22,27,32,15,26,22,27,21,130,(zzex****),그림체,좋아요,완전,효과음이,뭐,봐서
627709,0.42997970738330676,11.0,8328.84,57,2,10.0,15.0,14.0,7.0,10.0,16.0,10.0,8.0,10.0,11.0,7473.879999999999,8328.84,7365.6,6815.04,7221.76,6778.4400000000005,6966.7300000000005,6553.8,6696.0,7102.72,38,82,85,64,57,33,46,63,35,35,148,(zxz1****),위저드,베이커리,재밌어요,위저드,뭔가,왜
627858,0.4909572323904604,3.0,526.72,8,2,16.0,4.0,8.0,5.0,7.0,1.0,8.0,1.0,5.0,3.0,593.29,526.72,442.19999999999993,401.0,439.90000000000003,381.12,342.9,385.84,480.07,308.88,12,7,13,5,8,6,13,7,13,4,40,(zin1****),커피,귀여워요,우왕,메뉴판속,커피,겁나저렴하네
628014,0.5896430018165556,32.0,37572.11,120,2,44.0,23.0,51.0,27.0,31.0,10.0,21.0,20.0,68.0,32.0,33533.86,37572.11,32399.640000000003,30381.000000000004,28324.960000000003,26416.190000000002,26099.710000000003,25273.04,23366.2,23152.49,297,148,262,105,120,131,125,123,182,189,329,(zigk****),왜,정주행,귀여워,내,호모나,게이뭐야
628068,0.4339351106347923,6.0,2334.78,30,2,18.0,6.0,8.0,9.0,21.0,9.0,9.0,9.0,9.0,6.0,2964.0000000000005,2334.78,2242.76,3910.5,3706.34,2921.52,2922.48,2462.5,2494.28,2082.5699999999997,31,15,23,23,30,23,19,16,15,11,88,(yyju****),그림체스토리모두,완벽,꿀잼입니다,아저씨,다음화좀,이게왜
628100,0.5960989194184785,104.0,13624.52,54,2,48.0,24.0,20.0,41.0,32.0,35.0,19.0,59.0,111.0,104.0,13981.48,13624.52,12830.999999999998,13199.68,12489.8,12731.4,11579.36,11342.240000000002,13431.68,11198.3,68,37,88,74,54,60,81,78,202,140,236,(zwl2****),귀여워,귀여웤,비,뭔가,해서,다른
628234,0.4341504459332297,8.0,4983.81,19,2,18.0,9.0,12.0,24.0,11.0,12.0,9.0,13.0,9.0,8.0,5215.2,4983.81,5038.08,4856.04,5481.36,5128.64,4955.0,5123.02,4826.429999999999,4910.360000000001,71,33,17,33,19,40,10,23,14,23,142,(zize****),그림체는,소오름,귀신도,왜,할아버지혼자산다면사,지옥문뭔가
628340,0.54202209530392,10.0,3572.9399999999996,4,2,19.0,24.0,26.0,6.0,11.0,15.0,2.0,8.0,11.0,10.0,5301.85,3572.9399999999996,3402.56,2927.44,3111.7400000000002,2793.14,2334.04,2327.34,2054.47,2143.96,19,15,9,6,4,24,9,12,7,8,76,(yoyo****),나도,힘내세요,공감,그런거,스킨,여드름
628845,0.5114405461457205,23.0,12172.160000000002,30,2,28.0,26.0,17.0,7.0,24.0,16.0,14.0,18.0,19.0,23.0,12657.25,12172.160000000002,12182.04,11441.04,11658.400000000001,11353.720000000001,10879.0,11099.2,11426.23,11345.4,68,65,58,17,30,232,318,114,76,175,143,(zero****),달달한,귀엽다,귀여워,출산한,어떻게,거지
628856,0.5487426861711858,8.0,7639.379999999999,56,2,43.0,17.0,26.0,17.0,24.0,27.0,27.0,33.0,62.0,8.0,8428.98,7639.379999999999,7490.46,6944.25,5672.7,6292.85,5825.21,4589.549999999999,2263.2,855.36,104,36,46,107,56,117,72,65,125,117,222,(zxz1****),나도,좋은,마카롱,마카롱,왜,주인공
628858,0.5748238472698254,54.0,17523.149999999998,80,2,82.0,71.0,45.0,51.0,39.0,103.0,46.0,65.0,79.0,54.0,18261.899999999998,17523.149999999998,16450.2,15930.179999999998,14711.119999999999,16107.839999999998,14962.919999999998,14050.5,14810.12,11871.439999999999,195,193,51,56,80,88,108,109,127,60,362,(zpfl****),스텔라,사랑합니다,재밌어요,왜,뭐야,뭔가
628987,0.5967151585654784,42.0,4944.240000000001,39,2,24.0,8.0,19.0,20.0,28.0,32.0,27.0,48.0,33.0,42.0,6435.360000000001,4944.240000000001,5616.03,5383.5599999999995,5752.4,5896.28,5732.7,6328.96,5763.5199999999995,6263.12,57,11,27,18,39,71,28,25,18,16,106,(yo41****),표현,와,좋아요,무슨,지성이,아니야
629035,0.460996763074358,8.0,5002.24,27,2,27.0,15.0,16.0,12.0,14.0,14.0,13.0,6.0,13.0,8.0,5170.679999999999,5002.24,4624.8,4609.8,3906.48,3852.8399999999997,3476.28,3418.4800000000005,3418.4800000000005,3395.2799999999997,117,60,29,39,27,14,23,31,40,38,174,(zewo****),엉덩이,짱,정주행,왜,장난해,캐릭터들이
629092,0.5299243100247608,5.0,2223.84,4,2,23.0,18.0,2.0,6.0,9.0,7.0,8.0,7.0,10.0,5.0,2560.7999999999997,2223.84,1603.8000000000002,1510.11,1600.66,1537.6,1859.3200000000002,1671.41,1789.1999999999998,1602.18,27,7,4,5,4,0,3,3,0,0,75,(zxcv****),귀여워요,쿠마,강아지,네이버포스트에서,봤는데,여기에서도
629124,0.5542469960359245,28.0,10305.9,55,2,17.0,15.0,11.0,22.0,17.0,7.0,11.0,8.0,37.0,28.0,11068.2,10305.9,9563.84,10325.7,9070.529999999999,8573.4,8732.87,8335.800000000001,10276.2,9741.53,58,43,39,63,55,32,76,21,47,39,133,(yuns****),성진이,너,베스트,뭔데,응,첫장면은
629495,0.5958190156755613,135.0,18843.6,110,2,63.0,58.0,59.0,82.0,100.0,73.0,112.0,171.0,170.0,135.0,15448.619999999999,18843.6,18578.7,17649.399999999998,20508.8,16373.76,17383.18,23233.98,22565.920000000002,19947.269999999997,223,197,151,185,110,106,176,241,241,404,619,(zost****),좋아하는,그냥,남자가,내가,남자,여자한테
629729,0.5286188289500485,15.0,4442.599999999999,51,2,40.0,12.0,26.0,14.0,7.0,41.0,33.0,16.0,36.0,15.0,5311.370000000001,4442.599999999999,4414.08,3652.5,4090.8,3703.32,3708.7999999999997,1160.78,3640.1400000000003,3247.0000000000005,107,23,52,35,51,73,99,41,84,66,167,(zpfh****),재밌어요,고야,재밌네요,왜,제목만,나오죠
630220,0.4625627600427241,4.0,4474.8,37,2,23.0,18.0,17.0,23.0,14.0,20.0,34.0,16.0,19.0,4.0,4708.57,4474.8,4151.0599999999995,4431.629999999999,4302.150000000001,5044.44,5173.53,4119.96,4208.88,3574.7999999999997,26,21,11,27,37,17,49,13,11,11,107,(zxz1****),주드,좋아합니다,빨리,뭔가,댓글을,댓글은별점은꼬박꼬박
630288,0.6007800063948877,123.0,16360.849999999999,16,2,251.0,122.0,55.0,24.0,65.0,76.0,79.0,73.0,147.0,123.0,23910.5,16360.849999999999,11847.36,9820.449999999999,11299.56,10156.23,11171.38,12374.56,13701.6,12429.04,213,115,36,32,16,47,23,41,40,162,603,(zzcx****),대박,와,호랑이,왜,이게,기분
630368,0.5208635272219526,83.0,21712.81,199,2,143.0,64.0,74.0,48.0,197.0,54.0,91.0,115.0,34.0,83.0,25233.52,21712.81,20720.7,16671.600000000002,19958.4,15394.5,14775.660000000002,14241.6,12741.300000000001,12632.4,334,198,217,159,199,332,228,147,168,223,669,(zz77****),그림체,베도,이브,뭔가,아니라,왜
