id,label,5_연재확률,10_연재확률,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3,genre,title
684050,2,0.6928909604401783,0.5714912934901853,35.0,565240,12532.06,68.0,123.0,67.0,58.0,35.0,565240,506868,540042,465366,431365,13289.25,16408.039999999997,14288.1,13725.12,12532.06,545,(zxcv****),이토준지,와,그림체,이게,이토준지,뭐야,omnibus,조의 괴기만화
684164,2,0.5296884720853043,0.5202282469994793,13.0,180383,3916.44,23.0,17.0,12.0,11.0,13.0,180383,127866,113596,108172,106227,4137.0,3821.8,4059.0,3635.84,3916.44,119,(yuji****),와,계속,갑자기,와,자꾸,안녕하세여,story,10월 28일
684245,2,0.7155440576989884,0.5945275645623205,27.0,124123,5617.75,30.0,14.0,18.0,15.0,27.0,124123,97900,68581,65247,51316,6352.76,6020.200000000001,4660.29,5461.900000000001,5617.75,122,(yys7****),그림체,완전,사랑은,사람이,것은,사람을,episode,향기방기 연애일기
684521,2,0.5813380754802431,0.4635640329297872,5.0,42712,1380.27,7.0,6.0,2.0,7.0,5.0,42712,30281,29251,27705,27236,1582.4,1630.16,1439.85,1459.71,1380.27,42,(yald****),좋은,꾸준히,베도,그냥,여자질문에,평등하지는않죠,story,포르고드(FORGOD)
684525,2,0.604934325553513,0.5102574818227161,19.0,293978,5472.61,25.0,20.0,13.0,17.0,19.0,293978,225576,188786,183331,175688,5529.45,4845.92,4261.74,4338.75,5472.61,189,(zzzp****),좋네요,님,게임,소아온,맞춤법,주인공이,story,디바이스
684760,2,0.6306608766919959,0.4233289158866788,4.0,32416,1867.88,8.0,6.0,12.0,4.0,4.0,32416,28293,26261,24073,22453,2270.1,2117.73,2168.32,1868.2200000000005,1867.88,50,(yhab****),언니,만화,공감되네요,오빠가,내가,깽판쳤더니,episode,채소담
684770,2,0.444102654003365,0.4424858971709348,3.0,48151,1879.44,13.0,9.0,9.0,4.0,3.0,48151,36522,35420,31064,32898,2745.37,2079.7200000000003,2169.2,1801.8,1879.44,103,(zero****),왜,그냥,돈주고,매직기어로,매직기어를,엘카림이,story,엘카림이 들어줄게!
684800,2,0.5516774081376654,0.5253345561695811,3.0,48212,1543.08,23.0,4.0,11.0,3.0,3.0,48212,36928,33127,30804,29002,2260.8,1943.73,1861.2,1630.38,1543.08,46,(ysna****),감사합니다,계속,댓글,무심코,눌렀는데,카페레,episode,회장님
684827,2,0.6934023072938374,0.5880058711797209,34.0,396460,8613.0,16.0,19.0,26.0,22.0,34.0,396460,342061,294809,267666,263170,9909.48,9217.48,11012.3,8702.1,8613.0,162,(zmse****),재밌어요,베도로,다영이,아니고,오타,인것,story,일기장
684845,2,0.6617359695540814,0.5685806123233571,21.0,215996,6349.38,21.0,19.0,46.0,43.0,21.0,215996,173633,174827,170887,168451,6422.000000000001,5934.0,7524.0,7217.1,6349.38,221,(zxsk****),와,댓글,정식연재,왜,네이버야,와,story,미르신화전기
684944,2,0.6081488936442049,0.5624414514072203,29.0,269472,9731.52,32.0,11.0,31.0,22.0,29.0,269472,200086,173329,164979,160220,10566.32,11158.56,9800.64,8804.98,9731.52,136,(zxcv****),감사합니다,와,재밌어요,슬픔을,먹는자라는,제목과,story,슬픔을 먹는 남자
685304,2,0.7276636368401768,,24.0,36679,1775.6,27.0,20.0,36.0,19.0,24.0,36679,32772,22228,22063,14265,2577.4,2504.53,2415.7200000000003,2146.2000000000003,1775.6,158,(zlfm****),퀄리티,항상,있어요,리메이크,맞춤법이,가능성,story,볼트(VOLT)
685555,2,0.5843487079952198,,8.0,20379,1443.54,13.0,6.0,4.0,3.0,8.0,20379,12972,12076,11965,13444,1841.4,1411.48,1482.0000000000002,1381.8,1443.54,34,(zxcv****),그림체,칼루아,담화,뭔가,찜찜하다,None,omnibus,기생하는 심장
685637,2,0.696641086175929,0.5445832833433831,37.0,329946,9879.87,67.0,15.0,17.0,70.0,37.0,329946,203256,182433,175739,168303,12831.36,9091.55,8579.35,10284.54,9879.87,214,(znzn****),재밌어요,와,좋은,왜,이게,먹고,story,신과의 대화
685845,2,0.6653801321398636,0.5143014551144028,13.0,26733,722.76,25.0,23.0,18.0,17.0,13.0,26733,18108,10572,7628,8759,1673.5600000000002,1059.52,896.8,821.95,722.76,76,(yjch****),와,점점,대작,님이,아직,작가님아,story,경계인
685935,2,0.6215063246337159,0.4486500995213432,6.0,67755,1846.98,13.0,5.0,8.0,8.0,6.0,67755,35278,33220,30532,27065,2554.2000000000003,1980.0,2171.28,1954.26,1846.98,62,(yyyo****),와,그림체,왜,그림체가,코미코에,계셨던,story,너를 잃는 숲
685942,2,0.6500566924555281,0.5135726789824034,21.0,131733,2774.88,27.0,19.0,10.0,11.0,21.0,131733,78833,54927,44324,45016,3909.1,2891.0,2359.3500000000004,2203.24,2774.88,136,(zxcv****),좋은,좋아요,웹툰을,님들,다음웹툰에서,하는데,story,계약우정
685992,2,0.6741456448600669,0.4406726899144825,5.0,27189,1411.41,9.0,6.0,6.0,7.0,5.0,27189,18499,17033,16107,15211,1759.0400000000002,1674.09,1465.2800000000002,1442.48,1411.41,25,(zipl****),귀여워요,넘,재밌어욬,접근,불량배는,지옥도를,episode,도깨비 하우스
686023,2,0.6823616290486236,,7.0,40987,519.0999999999999,16.0,13.0,14.0,15.0,7.0,40987,19704,9110,6037,6241,1275.47,1003.6,893.7299999999999,714.0,519.0999999999999,60,(yure****),별점,그림체,빨리,싶었거든,할때,뭔가,story,레드헤링
