column,비공감_1,비공감_2,비공감_3,비공감_4,비공감_5,비공감_6,비공감_7,비공감_8,비공감_9,비공감_10,긍정댓글_1,긍정댓글_2,긍정댓글_3,긍정댓글_4,긍정댓글_5,긍정댓글_6,긍정댓글_7,긍정댓글_8,긍정댓글_9,긍정댓글_10,총별점수_1,총별점수_2,총별점수_3,총별점수_4,총별점수_5,총별점수_6,총별점수_7,총별점수_8,총별점수_9,총별점수_10
전체,129.58565737051794,105.06374501992032,99.01195219123504,84.63346613545816,69.2788844621514,75.54183266932272,105.35059760956176,104.23505976095618,109.601593625498,119.37848605577688,87.92828685258964,57.46613545816733,51.820717131474105,57.155378486055774,53.601593625498005,58.940239043824704,62.398406374502,65.28286852589642,70.14342629482071,76.36254980079681,11524.175816733072,10617.603864541845,10264.683306772897,9932.224900398409,9696.29812749005,9814.58832669322,9737.036374501991,9571.37916334662,9517.553864541836,9521.61494023904
episode,145.1346153846154,103.3076923076923,82.61538461538461,76.98076923076923,68.57692307692308,71.96153846153847,124.51923076923076,75.4423076923077,69.6923076923077,89.51923076923077,78.78846153846153,53.5,42.05769230769231,56.61538461538461,61.26923076923077,54.23076923076923,63.82692307692308,62.26923076923077,54.46153846153846,61.76923076923077,13312.121923076924,12212.196346153843,11579.887115384614,11487.63403846154,11497.845384615388,11176.879615384612,10978.891346153843,10925.995192307688,10807.59846153846,10747.929615384615
story,126.71348314606742,108.07303370786516,102.8370786516854,90.74719101123596,71.71348314606742,80.13483146067416,105.81460674157304,117.59550561797752,126.9494382022472,133.7865168539326,91.28651685393258,59.52247191011236,55.07303370786517,59.17977528089887,51.2247191011236,61.12359550561798,63.31460674157304,66.07303370786516,77.06179775280899,81.87078651685393,10751.163764044944,9942.480449438204,9660.75286516854,9268.11292134832,8954.486235955063,9248.981853932586,9136.196179775276,8987.727471910111,9006.710842696622,8989.800224719096
omnibus,115.42857142857144,83.9047619047619,107.1904761904762,51.76190476190476,50.38095238095238,45.47619047619048,53.95238095238095,62.285714285714285,61.38095238095238,71.19047619047619,82.0952380952381,49.85714285714285,48.42857142857143,41.333333333333336,54.76190476190476,52.095238095238095,51.095238095238095,66.04761904761905,50.333333333333336,65.80952380952381,13649.078095238094,12391.563809523812,12127.01761904762,11709.87523809524,11523.062857142855,11235.483809523812,11754.802857142857,11164.23476190476,10653.160476190478,10992.789047619046
