column,view_1,view_2,view_3,view_4,view_5,positive_1,positive_2,positive_3,positive_4,positive_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5
total_mean,123234.87658227848,96116.10759493672,80195.39240506329,71927.29113924051,68165.51582278482,84.30379746835443,54.86392405063291,50.813291139240505,55.18037974683544,56.32911392405063,10578.84278481013,9658.456487341778,9311.98018987341,9014.11743670886,8794.260886075957
episode,136781.6393442623,117149.2131147541,100162.91803278688,90505.1475409836,85711.91803278688,77.32786885245902,53.22950819672131,42.90163934426229,55.49180327868852,60.704918032786885,12976.333770491809,11809.039508196722,11199.282295081968,11078.850327868851,11032.681311475411
story,112479.15584415584,85709.18181818182,69931.06493506493,62320.31168831169,59091.320346320346,85.63636363636364,54.65367965367965,52.10822510822511,54.98268398268398,50.125541125541126,9664.932121212123,8829.711385281387,8567.822554112554,8220.508268398276,7950.231558441565
omnibus,192327.3333333333,142823.625,128238.75,117175.75,110907.54166666669,89.20833333333333,61.04166666666666,58.458333333333336,56.29166666666666,104.91666666666669,13281.61,12169.062916666668,11677.604583333332,11404.742916666668,11228.72458333333
