id,view_1,date_1,rating_1,people_1,turnfav_1,commentCount_1,reco_sum_1,reco_mean_1,unreco_sum_1,unreco_mean_1,pos_score_sum_1,pos_score_mean_1,neg_score_sum_1,neg_score_mean_1,negative_1,neutrality_1,positive_1,rate_neg_1,rate_neur_1,rate_pos_1,view_2,date_2,rating_2,people_2,turnfav_2,commentCount_2,reco_sum_2,reco_mean_2,unreco_sum_2,unreco_mean_2,pos_score_sum_2,pos_score_mean_2,neg_score_sum_2,neg_score_mean_2,negative_2,neutrality_2,positive_2,rate_neg_2,rate_neur_2,rate_pos_2,view_3,date_3,rating_3,people_3,turnfav_3,commentCount_3,reco_sum_3,reco_mean_3,unreco_sum_3,unreco_mean_3,pos_score_sum_3,pos_score_mean_3,neg_score_sum_3,neg_score_mean_3,negative_3,neutrality_3,positive_3,rate_neg_3,rate_neur_3,rate_pos_3,view_4,date_4,rating_4,people_4,turnfav_4,commentCount_4,reco_sum_4,reco_mean_4,unreco_sum_4,unreco_mean_4,pos_score_sum_4,pos_score_mean_4,neg_score_sum_4,neg_score_mean_4,negative_4,neutrality_4,positive_4,rate_neg_4,rate_neur_4,rate_pos_4,view_5,date_5,rating_5,people_5,turnfav_5,commentCount_5,reco_sum_5,reco_mean_5,unreco_sum_5,unreco_mean_5,pos_score_sum_5,pos_score_mean_5,neg_score_sum_5,neg_score_mean_5,negative_5,neutrality_5,positive_5,rate_neg_5,rate_neur_5,rate_pos_5,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,label,diff_1,diff_2,diff_3,diff_4,긍정반응점수,부정반응점수
732079,28733,2019-08-01,9.91,428,209,29,213,7.344827586206897,5,0.1724137931034483,47,1.6206896551724137,1,0.0344827586206896,0,7,22,0.0,0.2413793103448276,0.7586206896551724,24805,2019-08-07,9.92,358,165,17,133,7.823529411764706,2,0.1176470588235294,15,0.8823529411764706,2,0.1176470588235294,0,7,10,0.0,0.4117647058823529,0.5882352941176471,23074,2019-08-10,9.89,321,149,12,156,13.0,2,0.1666666666666666,8,0.6666666666666666,6,0.5,4,1,7,0.3333333333333333,0.0833333333333333,0.5833333333333334,22276,2019-08-14,9.89,336,160,13,104,8.0,4,0.3076923076923077,15,1.1538461538461535,0,0.0,0,4,9,0.0,0.3076923076923077,0.6923076923076923,19718,2019-08-17,9.85,297,140,13,215,16.53846153846154,1,0.0769230769230769,9,0.6923076923076923,5,0.3846153846153846,1,7,5,0.0769230769230769,0.5384615384615384,0.3846153846153846,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,4,3,500,148
732285,53923,2019-08-06,9.7,321,214,30,383,13.20689655172414,30,1.0344827586206895,36,1.2413793103448276,4,0.1379310344827586,0,14,15,0.0,0.4666666666666667,0.5,34939,2019-08-13,9.77,241,163,15,293,22.53846153846154,20,1.5384615384615383,9,0.6923076923076923,3,0.2307692307692307,1,7,5,0.0666666666666666,0.4666666666666667,0.3333333333333333,30449,2019-08-20,9.74,208,137,11,282,25.63636363636364,6,0.5454545454545454,16,1.4545454545454546,2,0.1818181818181818,0,5,6,0.0,0.4545454545454545,0.5454545454545454,25988,2019-08-27,9.64,222,136,15,150,10.0,16,1.0666666666666669,29,1.933333333333333,3,0.2,1,4,10,0.0666666666666666,0.2666666666666666,0.6666666666666666,19435,2019-08-31,9.29,164,100,11,70,6.363636363636363,7,0.6363636363636364,19,1.7272727272727273,0,0.0,0,2,9,0.0,0.1818181818181818,0.8181818181818182,0,0,1,0,0,0,0,0,0,0,1,0,0,1,7,7,7,4,958,45
732508,170128,2019-08-11,9.87,1712,1233,74,1170,15.81081081081081,114,1.5405405405405406,76,1.027027027027027,2,0.027027027027027,0,29,45,0.0,0.3918918918918919,0.6081081081081081,222217,2019-08-11,9.87,1679,1278,139,3222,23.17985611510792,222,1.5971223021582734,85,0.6115107913669064,18,0.1294964028776978,6,82,51,0.0431654676258992,0.5899280575539568,0.3669064748201439,202238,2019-08-15,9.88,1607,1192,99,2091,21.12121212121212,170,1.7171717171717171,99,1.0,27,0.2727272727272727,11,34,54,0.1111111111111111,0.3434343434343434,0.5454545454545454,169698,2019-08-19,9.89,1572,1085,118,1525,12.923728813559322,133,1.1271186440677967,125,1.0593220338983051,17,0.1440677966101695,6,45,67,0.0508474576271186,0.3813559322033898,0.5677966101694916,157672,2019-08-25,9.87,1439,999,114,1531,13.429824561403509,142,1.2456140350877194,111,0.9736842105263158,11,0.0964912280701754,4,51,59,0.0350877192982456,0.4473684210526316,0.5175438596491229,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,4,6,4672,717
732973,32355,2019-10-22,9.73,330,263,45,1556,34.577777777777776,16,0.3555555555555555,49,1.0888888888888888,8,0.1777777777777777,6,11,28,0.1333333333333333,0.2444444444444444,0.6222222222222222,27808,2019-11-17,9.71,269,228,20,243,12.15,4,0.2,29,1.45,5,0.25,1,5,14,0.05,0.25,0.7,24893,2019-12-11,9.71,280,242,31,807,26.032258064516128,28,0.9032258064516128,39,1.2580645161290325,7,0.2258064516129032,1,11,19,0.032258064516129,0.3548387096774194,0.6129032258064516,22929,2020-01-13,9.72,257,211,13,441,33.92307692307692,4,0.3076923076923077,9,0.6923076923076923,1,0.0769230769230769,0,8,5,0.0,0.6153846153846154,0.3846153846153846,21391,2020-02-25,9.7,258,217,26,594,22.846153846153847,7,0.2692307692307692,37,1.4230769230769231,1,0.0384615384615384,0,6,20,0.0,0.2307692307692307,0.7692307692307693,0,0,1,1,0,1,0,0,0,0,0,0,0,1,26,24,33,43,2982,96
733414,284650,2019-08-29,9.82,1430,1765,100,5852,58.52,348,3.48,179,1.79,44,0.44,7,24,69,0.07,0.24,0.69,160304,2019-08-29,9.85,1098,1218,41,2420,59.02439024390244,53,1.2926829268292683,59,1.4390243902439024,11,0.2682926829268293,3,9,29,0.073170731707317,0.2195121951219512,0.7073170731707317,139211,2019-08-29,9.89,1402,1254,129,5561,43.4453125,31,0.2421875,324,2.53125,52,0.40625,7,18,103,0.0542635658914728,0.1395348837209302,0.7984496124031008,123115,2019-09-11,9.84,1253,1215,114,7115,62.41228070175438,41,0.3596491228070175,230,2.017543859649123,34,0.2982456140350877,7,18,89,0.0614035087719298,0.1578947368421052,0.7807017543859649,119661,2019-09-26,9.88,1117,1104,158,7135,45.73717948717949,67,0.4294871794871794,267,1.7115384615384617,38,0.2435897435897435,15,43,98,0.0949367088607595,0.2721518987341772,0.620253164556962,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,13,15,19057,2592
733559,84725,2019-09-05,9.64,391,499,31,638,20.580645161290324,15,0.4838709677419355,57,1.8387096774193548,2,0.064516129032258,0,5,26,0.0,0.1612903225806451,0.8387096774193549,89887,2019-09-15,9.69,343,494,23,741,33.68181818181818,9,0.4090909090909091,11,0.5,2,0.0909090909090909,1,13,8,0.0434782608695652,0.5652173913043478,0.3478260869565217,74614,2019-09-25,9.72,343,433,27,764,28.296296296296298,3,0.1111111111111111,31,1.148148148148148,13,0.4814814814814814,6,9,12,0.2222222222222222,0.3333333333333333,0.4444444444444444,65780,2019-10-05,9.82,321,411,48,2596,57.68888888888889,16,0.3555555555555555,19,0.4222222222222222,11,0.2444444444444444,7,27,11,0.1458333333333333,0.5625,0.2291666666666666,62228,2019-10-15,9.69,275,387,47,1505,33.44444444444444,30,0.6666666666666666,26,0.5777777777777777,14,0.3111111111111111,8,21,16,0.1702127659574468,0.4468085106382978,0.3404255319148936,0,0,1,0,0,0,0,1,1,0,0,0,0,1,10,10,10,10,2508,335
733747,95714,2019-09-04,9.88,1109,1145,111,3629,32.99090909090909,53,0.4818181818181818,132,1.2,19,0.1727272727272727,4,43,63,0.036036036036036,0.3873873873873873,0.5675675675675675,71298,2019-09-11,9.8,702,771,58,2607,45.73684210526316,15,0.2631578947368421,76,1.3333333333333333,7,0.1228070175438596,2,16,39,0.0344827586206896,0.2758620689655172,0.6724137931034483,45743,2019-09-18,9.8,593,587,39,1613,41.35897435897436,20,0.5128205128205128,46,1.1794871794871795,12,0.3076923076923077,6,10,23,0.1538461538461538,0.2564102564102564,0.5897435897435898,39466,2019-09-25,9.81,556,527,58,1009,17.70175438596491,9,0.1578947368421052,86,1.5087719298245614,9,0.1578947368421052,4,10,43,0.0689655172413793,0.1724137931034483,0.7413793103448276,33341,2019-10-02,9.94,477,502,62,1665,26.85483870967742,9,0.1451612903225806,72,1.1612903225806452,8,0.1290322580645161,1,27,34,0.0161290322580645,0.4354838709677419,0.5483870967741935,1,0,0,0,0,1,0,1,0,0,0,0,0,1,7,7,7,7,7147,184
733866,103789,2019-09-07,9.66,644,838,63,1575,25.0,40,0.6349206349206349,87,1.380952380952381,17,0.2698412698412698,6,17,40,0.0952380952380952,0.2698412698412698,0.6349206349206349,84484,2019-09-14,9.8,544,728,37,921,24.89189189189189,29,0.7837837837837838,56,1.5135135135135136,6,0.1621621621621621,1,8,28,0.027027027027027,0.2162162162162162,0.7567567567567568,74256,2019-09-21,9.75,497,654,20,691,34.55,14,0.7,33,1.65,1,0.05,0,6,14,0.0,0.3,0.7,69986,2019-09-28,9.7,468,621,35,1268,36.22857142857143,20,0.5714285714285714,35,1.0,4,0.1142857142857142,0,12,23,0.0,0.3428571428571428,0.6571428571428571,66727,2019-10-14,9.71,447,568,31,674,21.741935483870968,29,0.935483870967742,50,1.6129032258064515,4,0.1290322580645161,3,12,16,0.0967741935483871,0.3870967741935484,0.5161290322580645,0,0,1,0,0,1,0,0,1,0,0,0,0,1,7,7,7,16,4925,146
734352,26503,2019-09-18,9.87,425,185,27,230,8.518518518518519,25,0.925925925925926,40,1.4814814814814814,2,0.074074074074074,0,2,25,0.0,0.074074074074074,0.925925925925926,32637,2019-09-18,9.92,501,214,44,240,5.454545454545454,34,0.7727272727272727,67,1.5227272727272727,6,0.1363636363636363,0,9,35,0.0,0.2045454545454545,0.7954545454545454,28377,2019-09-20,9.92,456,203,19,221,11.63157894736842,16,0.8421052631578947,30,1.5789473684210529,1,0.0526315789473684,0,3,16,0.0,0.1578947368421052,0.8421052631578947,26957,2019-09-25,9.91,441,191,14,123,8.785714285714286,15,1.0714285714285714,18,1.2857142857142858,3,0.2142857142857142,0,6,8,0.0,0.4285714285714285,0.5714285714285714,25575,2019-09-27,9.95,429,188,16,268,16.75,7,0.4375,15,0.9375,4,0.25,1,6,9,0.0625,0.375,0.5625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,2,843,106
734410,116169,2019-09-30,9.81,397,507,42,715,17.4390243902439,11,0.2682926829268293,72,1.7560975609756098,8,0.1951219512195122,4,8,29,0.0952380952380952,0.1904761904761904,0.6904761904761905,79445,2019-10-06,9.85,365,446,23,637,27.695652173913043,8,0.3478260869565217,34,1.4782608695652173,2,0.0869565217391304,0,6,17,0.0,0.2608695652173913,0.7391304347826086,72377,2019-10-13,9.92,354,434,27,802,29.703703703703702,13,0.4814814814814814,42,1.5555555555555556,3,0.1111111111111111,1,4,22,0.037037037037037,0.1481481481481481,0.8148148148148148,69241,2019-10-20,9.86,320,412,20,927,46.35,7,0.35,30,1.5,1,0.05,1,4,15,0.05,0.2,0.75,68561,2019-11-03,9.87,472,492,71,882,12.422535211267606,17,0.2394366197183098,138,1.943661971830986,11,0.1549295774647887,0,13,58,0.0,0.1830985915492957,0.8169014084507042,0,0,1,0,0,0,0,1,1,0,0,0,0,1,6,7,7,14,3672,43
